연도(year),1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균 요금,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,320,320,320,320,320,320,340,340,340,340,340,340,330,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,340,340,340,340,340,340,400,400,400,400,400,400,370,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,400,400,400,400,430,430,430,430,430,430,430,430,420,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,500,500,500,500,500,500,500,500,500,500,500,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,500,500,500,500,500,500,500,500,500,500,500,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,500,500,500,500,500,500,600,600,600,600,600,600,550,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,600,600,600,600,600,600,600,600,600,600,600,600,600,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,600,600,600,600,600,600,600,600,600,600,600,600,600,,,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
2003,600,600,700,700,700,700,700,700,700,700,700,700,683.333333333333,,,,700,800,800,800,900,900,900,900,900,1050,1050,1050,1250,1250,1250,1250,1250,1250,1250,1400,1400,1400,1550
2004,700,700,700,700,700,700,800,800,800,800,800,800,750,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,800,800,800,800,800,800,800,800,800,800,800,800,800,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,800,800,800,800,800,800,800,800,800,800,800,800,800,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,800,800,800,900,900,900,900,900,900,900,900,900,875,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,900,900,900,900,900,900,900,900,900,900,900,900,900,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,900,900,900,900,900,900,900,900,900,900,900,900,900,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,900,900,900,900,900,900,900,900,900,900,900,900,900,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,900,900,900,900,900,900,900,900,900,900,900,900,900,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,900,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1037.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1050,1050,1050,1050,1050,1200,1200,1200,1200,1200,1200,1200,1137.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1250,1250,1250,1250,1250,1250,1250,1250,1250,1400,1400,1400,1287.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1400,1400,1400,1400,1400,1550,1550,1550,1550,1550,1550,1550,1487.5,,,,,,,,,,,,,,,,,,,,,,,,,,
